"name","conductor","nature","mech_tension_kn","output_angle","yb_mm","bench_type","num_cycles","num_cycles_exp","olla_reliability"
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.8272,bielle,3412811.0,3412811,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.8272,bielle,,3434411,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.6109,bielle,,6649691,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.6,bielle,14130145,14130145,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.6,bielle,,14153580,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,1.34,bielle,8518680.0,8518680,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,1.15,bielle,,11344085,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.569,bielle,,11123000,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.529,bielle,20917000,20917000,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.529,bielle,20323000,20323000,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,1.001,bielle,,43533592,false
Dalpe_1999_angle10,DRAKE,ACSR,35.0,10.0,0.908,bielle,,43533592,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,1.23,bielle,3464560.0,3464560,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,1.23,bielle,3995588.0,3995588,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,1.0168,bielle,3399040.0,3399040,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,1.0168,bielle,3603530.0,3603530,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,0.7755,bielle,,8824650,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,0.755,bielle,11946381,11946381,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,0.755,bielle,,12291981,false
Dalpe_1999_angle5,DRAKE,ACSR,35.0,5.0,0.623,bielle,,68082370,false
Dalpe_1999_angle5_res,DRAKE,ACSR,35.0,5.0,1.0,resonance,7026296.0,7026296,true
Dalpe_1999_angle5_res,DRAKE,ACSR,35.0,5.0,0.8,resonance,,102063666,true
Dalpe_1999_angle5_res,DRAKE,ACSR,35.0,5.0,0.718,resonance,16249449,16249449,true
Dalpe_1999_angle5_res,DRAKE,ACSR,35.0,5.0,0.656,resonance,,100003108,true
Dalpe_1999_angle5_res,DRAKE,ACSR,35.0,5.0,0.625,resonance,,101966476,true
P10IY_ang5,ASTER570,AAAC,36.6,5.0,0.3,resonance,,500000000,true
P10IY_ang7,ASTER570,AAAC,36.6,7.0,0.35,resonance,,5000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.35,resonance,,500000000,true
P10IY_ang6,ASTER570,AAAC,36.6,6.0,0.3,resonance,32900000,32900000,true
P10IY_ang7,ASTER570,AAAC,36.6,7.0,0.5,resonance,14300000,14300000,true
P10IY_ang6,ASTER570,AAAC,36.6,6.0,0.2,resonance,,500000000,true
P10IY_ang7,ASTER570,AAAC,36.6,7.0,0.6,resonance,7160000.0,7160000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.4,resonance,,374000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.2,resonance,,500000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.25,resonance,,500000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.7,resonance,6770000.0,6770000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.25,resonance,,500000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.25,resonance,,500000000,true
P10IY_ang65,ASTER570,AAAC,36.6,6.5,0.25,resonance,,500000000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,99000000,99000000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,123510000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,67200000,67200000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,64700000,64700000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,2600000.0,2600000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,8770000.0,8770000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,3000000.0,3000000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,2120000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,2160000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,4000000.0,4000000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,4270000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,3100000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,,2660000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,4900000.0,4900000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.6,resonance,4970000.0,4970000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2090000.0,2090000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2320000.0,2320000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2030000.0,2030000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2280000.0,2280000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,,2970000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,1750000.0,1750000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2020000.0,2020000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2700000.0,2700000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,1580000.0,1580000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,1790000.0,1790000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2440000.0,2440000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2380000.0,2380000,true
Levesque_2005,BERSFORT,ACSR,45.0,6.0,0.75,resonance,2730000.0,2730000,true
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.813,resonance,16100000,16100000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.813,resonance,10840000,10840000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.813,resonance,,24840000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.813,resonance,9760000.0,9760000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.789,resonance,8480000.0,8480000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.742,resonance,,18620000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.695,resonance,,102230000,false
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.452,resonance,3050000.0,3050000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.452,resonance,7390000.0,7390000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.439,resonance,3510000.0,3510000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.426,resonance,7750000.0,7750000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.304,resonance,,30760000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.3,resonance,,70210000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.408,resonance,,100000000,true
CEA_1131T241_35pct,BERSIMIS,ACSR,54.0,10.0,0.744,resonance,4250000.0,4250000,true
CEA_1131T241_35pct,BERSIMIS,ACSR,54.0,10.0,0.744,resonance,2510000.0,2510000,true
CEA_1131T241_35pct,BERSIMIS,ACSR,54.0,10.0,0.617,resonance,3960000.0,3960000,true
CEA_1131T241_35pct,BERSIMIS,ACSR,54.0,10.0,0.422,resonance,8880000.0,8880000,true
CEA_1131T241_35pct,BERSIMIS,ACSR,54.0,10.0,0.356,resonance,36860000,36860000,true
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.394,resonance,12110000,12110000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.394,resonance,8150000.0,8150000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,23.0,10.0,0.394,resonance,6260000.0,6260000,false
CEA_1131T241_15pct,BERSIMIS,ACSR,38.5,10.0,0.342,resonance,2010000.0,2010000,false
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.342,resonance,4910000.0,4910000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.342,resonance,2810000.0,2810000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.311,resonance,5100000.0,5100000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.185,resonance,40080000,40080000,true
CEA_1131T241_25pct,BERSIMIS,ACSR,38.5,10.0,0.087,resonance,,100000000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.84,resonance,4180000.0,4180000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.84,resonance,4000000.0,4000000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.84,resonance,3464000.0,3464000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.88,resonance,3670000.0,3670000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.88,resonance,3565000.0,3565000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.88,resonance,3464000.0,3464000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.98,resonance,2550000.0,2550000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.98,resonance,2450000.0,2450000,true
Kalombo2016_ACSR_H23kN,TERN,ACSR,23.0,10.0,0.98,resonance,2050000.0,2050000,true
Kalombo2016_ACSR_H28kN,TERN,ACSR,28.0,10.0,0.8,resonance,3460000.0,3460000,true
Kalombo2016_ACSR_H28kN,TERN,ACSR,28.0,10.0,0.8,resonance,3000000.0,3000000,true
Kalombo2016_ACSR_H28kN,TERN,ACSR,28.0,10.0,0.8,resonance,2900000.0,2900000,true
